Sport,Start Time,Weekofsy,Level,Key,Game Type,State Code,Away School,Home School,New Subs,Distance Between Schools,hour,day_of_week,month,year,day_of_year,is_friday,is_weekend,is_evening,is_primetime,home_school_hist_avg,away_school_hist_avg,matchup,is_repeat_matchup,State_Group
Football,12/13/2025 18:00,19,Varsity,gam2e8b40c078,regular season,CA,winters-high-school-winters-ca,samuel-f-b-morse-high-school-san-diego-ca,1,488.1302012,18,5,12,2025,347,0,1,1,0,2.6875,4.4,samuel-f-b-morse-high-school-san-diego-ca_vs_winters-high-school-winters-ca,0,CA
Football,12/13/2025 17:00,19,Varsity,gamd0d00ed38c,regular season,VA,kettle-run-high-school-nokesville-va,lake-taylor-high-school-norfolk-va,22,151.9884358,17,5,12,2025,347,0,1,0,0,3.4,7.444444444,lake-taylor-high-school-norfolk-va_vs_kettle-run-high-school-nokesville-va,0,VA
Football,12/13/2025 11:30,19,Varsity,gam61bf55305e,regular season,VA,north-stafford-high-school-stafford-va,oscar-smith-high-school-chesapeake-va,51,136.2162692,11,5,12,2025,347,0,1,0,0,15.33333333,8.777777778,oscar-smith-high-school-chesapeake-va_vs_north-stafford-high-school-stafford-va,0,VA
Football,12/12/2025 20:00,19,Varsity,gamb26e0aee6a,regular season,TX,stephenville-high-school-stephenville-tx,celina-high-school-celina-tx,78,116.7021685,20,4,12,2025,346,1,0,1,1,25.4,32.85714286,celina-high-school-celina-tx_vs_stephenville-high-school-stephenville-tx,0,TX
Football,12/12/2025 13:00,19,Varsity,gamd499bc3a84,regular season,LA,iowa-high-school-iowa-la,north-desoto-high-school-stonewall-la,120,145.5660014,13,4,12,2025,346,1,0,0,0,14.55,6.5,north-desoto-high-school-stonewall-la_vs_iowa-high-school-iowa-la,0,Other
Football,12/9/2025 19:30,19,Varsity,gamc95e42c010,regular season,CA,folsom-high-school-folsom-ca,cathedral-catholic-high-school-san-diego-ca,,451.1459657,19,1,12,2025,343,0,0,1,1,11,75.5,cathedral-catholic-high-school-san-diego-ca_vs_folsom-high-school-folsom-ca,0,CA
Football,12/8/2025 17:00,19,Varsity,gam5fab5bdcba,regular season,CT,sheehan-high-school-wallingford-ct,woodland-high-school-beacon-falls-ct,9,13.48084029,17,0,12,2025,342,0,0,0,0,15,11.72727273,woodland-high-school-beacon-falls-ct_vs_sheehan-high-school-wallingford-ct,0,Other
Football,12/8/2025 15:30,19,Varsity,gambb908d38ee,regular season,CT,ledyard-high-school-ledyard-ct,killingly-high-school-dayville-ct,3,29.83007028,15,0,12,2025,342,0,0,0,0,8.676470588,4.75,killingly-high-school-dayville-ct_vs_ledyard-high-school-ledyard-ct,1,Other
Football,12/6/2025 22:00,18,Varsity,gam544480931b,regular season,CA,pacifica-high-school-oxnard-oxnard-ca,granite-hills-high-school-el-cajon-el-cajon-ca,1,162.8174973,22,5,12,2025,340,0,1,1,0,8.681818182,13.45454545,granite-hills-high-school-el-cajon-el-cajon-ca_vs_pacifica-high-school-oxnard-oxnard-ca,0,CA
Football,12/6/2025 21:00,18,Varsity,gam6f9141ac9e,regular season,CA,santee-high-school-los-angeles-ca,south-el-monte-high-school-south-el-monte-ca,,12.59773923,21,5,12,2025,340,0,1,1,0,2.846153846,2.5,south-el-monte-high-school-south-el-monte-ca_vs_santee-high-school-los-angeles-ca,0,CA
Football,12/6/2025 14:00,18,Varsity,gamed066a5cbe,regular season,WA,tricities-prep-pasco-wa,toledo-high-school-toledo-wa,4,173.5625125,14,5,12,2025,340,0,1,0,0,5.555555556,4,toledo-high-school-toledo-wa_vs_tricities-prep-pasco-wa,0,WA
Football,12/6/2025 13:00,18,Varsity,gamd9b3fdad9f,regular season,VA,lafayette-high-school-williamsburg-va,loudoun-county-high-school-leesburg-va,17,131.6682856,13,5,12,2025,340,0,1,0,0,6,5.363636364,loudoun-county-high-school-leesburg-va_vs_lafayette-high-school-williamsburg-va,0,VA
Football,12/5/2025 20:00,18,Varsity,gam8f6cf4a034,regular season,TX,billy-ryan-high-school-denton-tx,aledo-high-school-aledo-tx,128,46.48467135,20,4,12,2025,339,1,0,1,1,27.09090909,16.42857143,aledo-high-school-aledo-tx_vs_billy-ryan-high-school-denton-tx,1,TX
Football,11/29/2025 22:00,17,Varsity,gam958f3b0b7b,regular season,CA,foothill-high-school-palo-cedro-palo-cedro-ca,chico-high-school-chico-ca,13,61.14756753,22,5,11,2025,333,0,1,1,0,6.1,6.545454545,chico-high-school-chico-ca_vs_foothill-high-school-palo-cedro-palo-cedro-ca,1,CA
Football,11/29/2025 22:00,17,Varsity,gam5659c7d8de,regular season,CA,la-habra-high-school-la-habra-ca,san-jacinto-high-school-san-jacinto-ca,46,57.65048159,22,5,11,2025,333,0,1,1,0,8.133333333,4.625,san-jacinto-high-school-san-jacinto-ca_vs_la-habra-high-school-la-habra-ca,0,CA
Football,11/29/2025 13:30,17,Varsity,gam03eeb1eb03,regular season,VA,ridgeview-high-school-clintwood-va,union-high-school-big-stone-gap-va,3,26.08403893,13,5,11,2025,333,0,1,0,0,34.6,30.29411765,union-high-school-big-stone-gap-va_vs_ridgeview-high-school-clintwood-va,1,VA
Football,11/29/2025 13:20,17,Varsity,gam9c26f39f79,regular season,VA,ridgeview-high-school-clintwood-va,union-high-school-big-stone-gap-va,169,26.08403893,13,5,11,2025,333,0,1,0,0,29,21.625,union-high-school-big-stone-gap-va_vs_ridgeview-high-school-clintwood-va,1,VA
Football,11/29/2025 6:00,17,Varsity,gam00153a8759,regular season,OR,henley-high-school-klamath-falls-or,cascade-senior-high-school-turner-or,3,193.6305883,6,5,11,2025,333,0,1,0,0,7.263157895,4.846153846,cascade-senior-high-school-turner-or_vs_henley-high-school-klamath-falls-or,1,OR
Football,11/28/2025 22:00,17,Varsity,gam4238d317c2,regular season,CA,pacifica-high-school-oxnard-oxnard-ca,palos-verdes-high-school-palos-verdes-estates-ca,32,52.57273796,22,4,11,2025,332,1,0,1,0,14.25,11.6,palos-verdes-high-school-palos-verdes-estates-ca_vs_pacifica-high-school-oxnard-oxnard-ca,0,CA
Football,11/28/2025 22:00,17,Varsity,gam8e6badb8fb,regular season,CA,woodbridge-high-school-irvine-ca,montebello-high-school-montebello-ca,3,29.5370754,22,4,11,2025,332,1,0,1,0,2.466666667,3.2,montebello-high-school-montebello-ca_vs_woodbridge-high-school-irvine-ca,0,CA
Football,11/28/2025 22:00,17,Varsity,gam9c9f60103c,regular season,CA,clayton-valley-charter-high-school-concord-ca,monte-vista-high-school-danville-danville-ca,,7.246423247,22,4,11,2025,332,1,0,1,0,6.947368421,17.33333333,monte-vista-high-school-danville-danville-ca_vs_clayton-valley-charter-high-school-concord-ca,1,CA
Football,11/28/2025 20:00,17,Varsity,gama59117aa5b,regular season,TN,centennial-high-school-franklin-tn,page-high-school-franklin-tn,128,6.929891874,20,4,11,2025,332,1,0,1,1,7.875,10.81818182,page-high-school-franklin-tn_vs_centennial-high-school-franklin-tn,0,TN
Football,11/28/2025 20:00,17,Varsity,gamceec21dcf7,regular season,TX,brazos-christian-school-bryan-tx,rosehill-christian-school-tomball-tx,1,54.27733966,20,4,11,2025,332,1,0,1,1,2.181818182,4.857142857,rosehill-christian-school-tomball-tx_vs_brazos-christian-school-bryan-tx,1,TX
Football,11/28/2025 20:00,17,Varsity,gam04fea3246a,regular season,TN,blackman-high-school-murfreesboro-tn,oakland-high-school-murfreesboro-tn,7,7.131707861,20,4,11,2025,332,1,0,1,1,,14.33333333,oakland-high-school-murfreesboro-tn_vs_blackman-high-school-murfreesboro-tn,0,TN
Football,11/28/2025 20:00,17,Varsity,gam56f0b04cd8,regular season,TN,southwind-high-school-memphis-tn,ravenwood-high-school-brentwood-tn,202,182.5427947,20,4,11,2025,332,1,0,1,1,15.95454545,17,ravenwood-high-school-brentwood-tn_vs_southwind-high-school-memphis-tn,0,TN
Football,11/28/2025 19:00,17,Varsity,game1b2518940,regular season,NC,reagan-ronald-high-school-pfafftown-nc,grimsley-high-school-greensboro-nc,30,31.20792338,19,4,11,2025,332,1,0,1,1,13.27586207,8.2,grimsley-high-school-greensboro-nc_vs_reagan-ronald-high-school-pfafftown-nc,1,NC
Football,11/28/2025 19:00,17,Varsity,gam58a806894b,regular season,TN,south-pittsburg-high-school-south-pittsburg-tn,cloudland-high-school-roan-mountain-tn,8,220.6726323,19,4,11,2025,332,1,0,1,1,4.5,12.7,cloudland-high-school-roan-mountain-tn_vs_south-pittsburg-high-school-south-pittsburg-tn,0,TN
